OS,Description,Value,Scope,Scope Path
windows,Detected by SentinelOne Cloud,dc6ddb35ef1ff4e22cfc16e94907ddc7fb65dee9,tenant,Global
windows,Detected by SentinelOne Cloud,08d64e4246568fb8d49e1931bc2d8384bb53f3c9,tenant,Global
windows,Detected by SentinelOne Cloud,de4743a66eb2f09027f38df10f29f2913088ef31,tenant,Global
windows,Detected by SentinelOne Cloud,b5f9aa2c38b4a7819e6635336b4f054ad53804f8,tenant,Global
osx,Detected by SentinelOne Cloud,f3d83291008736e1f8a2d52e064e2decb2c893ba,tenant,Global
windows,Detected by SentinelOne Cloud,8a71187b33d23019db6d2bff0a1c176c4a8a1bf5,tenant,Global
osx,Detected by SentinelOne Cloud,02a38a5dd5dcff4354fab26601dd766c1d24293e,tenant,Global
windows,Detected by SentinelOne Cloud,2e38425e957d622baa81cbf037e80c46e0a94dbb,tenant,Global
windows,Detected by SentinelOne Cloud,78bc3a8ff97936b81fc8d6aa43652f2f7cf7fc77,tenant,Global
windows,Detected by SentinelOne Cloud,0ac63277354c93f8ec7da49807433ddbfe6559c6,tenant,Global
windows,Detected by SentinelOne Cloud,0ba49cef31ed84523daabf53c35b4a3a9fe6f728,tenant,Global
windows,Detected by SentinelOne Cloud,5450cb88be01b1190dbf9c52f81a57b8db889d6e,tenant,Global
windows,Detected by SentinelOne Cloud,f234d428790396ec6b578ea73a73f767a82198d1,tenant,Global
windows,Detected by SentinelOne Cloud,f2c08c21db546063d33b27644875f72b3e5270d3,tenant,Global
windows,Detected by SentinelOne Cloud,a139241965444ae7dcc3608142f528f31ede2914,tenant,Global
windows,Detected by SentinelOne Cloud,391711d238e230a7e8af72a6fb0eaa4339da589c,tenant,Global
windows,Detected by SentinelOne Cloud,6fd8d1ae95b6d70a5c0dda692e84ea2a9dcc3c84,tenant,Global
windows,Detected by SentinelOne Cloud,a7f6871e6ec6989eaf598a39b8cd34f977aa00fb,tenant,Global
osx,Detected by SentinelOne Cloud,06c8c84fb0a85bdf3520608b0a5c910b77e3b8c1,tenant,Global
windows,Detected by SentinelOne Cloud,18d70c5bcc2708e329067b62ca1083dd35e5c97d,tenant,Global
windows,Detected by SentinelOne Cloud,e74e4c08d39df044c5b3790af3dd6a2803d30795,tenant,Global
windows,Detected by SentinelOne Cloud,130460c2e3063cbcd242aa190ededd883da3036d,tenant,Global
windows,Detected by SentinelOne Cloud,70fcacf6209d5a254e3d78ab739d5cc6a987266c,tenant,Global
windows,Detected by SentinelOne Cloud,b713800f7c31f19678e76cff88c2326ef8590716,tenant,Global
windows,Detected by SentinelOne Cloud,ad59640deab412cccb0c14692e6d100477175181,tenant,Global
windows,Detected by SentinelOne Cloud,959e1de12712be97f2fbd5613f59ac193a5c3112,tenant,Global
windows,Detected by SentinelOne Cloud,a198876801ee02ff704fa12ba5a5bd3b0faecde7,tenant,Global
windows,Detected by SentinelOne Cloud,e22f9e7b813e663d6789c9775cd6203283b5b42a,tenant,Global
windows,Detected by SentinelOne Cloud,f8320de79e05d7f93c1f5e64e88ff93ce42b5adb,tenant,Global
osx,Detected by SentinelOne Cloud,23d2daad85f94a06f635422f8ae349e58b26429e,tenant,Global
windows,Detected by SentinelOne Cloud,6969cf5ec76097dcf1093792d384f7e694146bb3,tenant,Global
windows,Detected by SentinelOne Cloud,85e0c986d2bfef41675413f674f377968803e78a,tenant,Global
osx,Detected by SentinelOne Cloud,9b5b234e3b53f254bc9b3717232d1030e340c7f2,tenant,Global
